
Date/Time,076 [°C],076 [m/s],657 [°C],657 [m/s],
14/03/2022 15:26:58,22.6,1.03,22.9,1.88,
14/03/2022 15:26:59,22.6,1.03,22.9,1.85,
14/03/2022 15:27:00,22.6,1.02,22.9,1.85,
14/03/2022 15:27:01,22.6,1.01,22.9,1.88,
14/03/2022 15:27:02,22.6,1.04,22.9,1.88,
14/03/2022 15:27:03,22.6,1.02,22.9,1.87,
14/03/2022 15:27:04,22.6,1.03,22.9,1.83,
14/03/2022 15:27:05,22.6,1.02,22.9,1.86,
14/03/2022 15:27:06,22.6,1.03,22.9,1.84,
14/03/2022 15:27:07,22.6,1.01,22.9,1.84,
14/03/2022 15:27:08,22.6,1.03,22.9,1.85,
14/03/2022 15:27:09,22.6,1.02,22.9,1.82,
14/03/2022 15:27:10,22.7,1.02,22.9,1.87,
14/03/2022 15:27:11,22.7,1.03,22.9,1.84,
14/03/2022 15:27:12,22.7,1.03,22.9,1.83,
14/03/2022 15:27:13,22.7,1.03,22.9,1.86,
14/03/2022 15:27:14,22.7,1.03,22.9,1.87,
14/03/2022 15:27:15,22.7,1.02,22.9,1.89,
14/03/2022 15:27:16,22.7,1.02,23.0,1.85,
14/03/2022 15:27:17,22.7,1.02,23.0,1.85,
14/03/2022 15:27:18,22.7,1.02,23.0,1.85,
14/03/2022 15:27:19,22.7,1.04,23.0,1.88,
14/03/2022 15:27:20,22.7,1.04,23.0,1.88,
14/03/2022 15:27:21,22.7,1.00,23.0,1.83,
14/03/2022 15:27:22,22.7,1.04,23.0,1.83,
14/03/2022 15:27:23,22.7,1.03,23.0,1.87,
14/03/2022 15:27:24,22.7,1.00,23.0,1.85,
14/03/2022 15:27:25,22.7,1.01,23.0,1.83,
14/03/2022 15:27:26,22.7,1.04,23.0,1.85,
14/03/2022 15:27:27,22.7,1.03,23.0,1.86,
14/03/2022 15:27:28,22.7,1.03,23.0,1.78,
14/03/2022 15:27:29,22.7,1.02,23.0,1.81,
14/03/2022 15:27:30,22.7,1.03,23.0,1.82,
14/03/2022 15:27:31,22.7,1.02,23.0,1.84,
14/03/2022 15:27:32,22.7,1.01,23.0,1.86,
14/03/2022 15:27:33,22.7,1.02,23.0,1.86,
14/03/2022 15:27:34,22.7,1.02,23.0,1.84,
14/03/2022 15:27:35,22.7,0.80,23.0,1.59,
14/03/2022 15:27:36,22.7,0.43,23.0,0.99,
14/03/2022 15:27:37,22.7,0.27,23.0,0.64,
14/03/2022 15:27:38,22.7,0.19,23.0,0.42,
14/03/2022 15:27:39,22.7,0.13,23.0,0.33,
14/03/2022 15:27:40,22.7,0.06,23.0,0.21,
14/03/2022 15:27:41,22.7,0.02,23.0,0.12,
14/03/2022 15:27:42,22.7,0.00,23.0,0.08,
14/03/2022 15:27:43,22.7,0.00,23.0,0.03,
14/03/2022 15:27:44,22.7,0.00,23.0,0.01,
14/03/2022 15:27:45,22.7,0.00,23.0,0.00,
14/03/2022 15:27:46,22.7,0.00,23.0,0.00,
Overall average,22.5,0.99,22.9,1.80,
Minimum total,22.4,0.00,22.8,0.00,
Maximum total,22.7,1.05,23.6,1.98,

< General information >,
App version,Name of measurement program,Date of measurement,Comments,
V 14.41.6.58442,Basic view,14/03/2022 15:27,,

< Company >,
City,Country,Customer number,E-mail address,Name,Name of technician,Tel.,Fax,Website address,Street,
,,,,,,,,,,

< Customer >,
City,Country,Customer number,E-mail address,Name,Name of technician,Tel.,Fax,Website address,Street,
,,,,,,,,,,

< Instruments >,
Name,Serial number,Firmware version,Measurement parameters,
testo 405i,45973076,V 1.101.1,Temperature,
testo 405i,45973076,V 1.101.1,Flow velocity,
testo 405i,48929657,V 1.101.1,Temperature,
testo 405i,48929657,V 1.101.1,Flow velocity,

< Measuring site >,
Name,System number,System type,System manufacturer,System serial number,Date of manufacture,Notes,
,,,,,,,

< Measurement parameters >,
Measuring mode,Measuring cycle,Start,End,Duration,
Continuous,1 Sec,14/03/2022 15:22:23,14/03/2022 15:27:46,0 d 0 Hr. 5 Min. 23 Sec,

< Images >,
Name,
